gene_idx,GeneID,GeneSymbol
297,26036,ZNF451
298,26054,SENP6
299,26064,RAI14
300,26128,KIF1BP
301,26136,TES
302,26227,PHGDH
303,2624,GATA2
304,2625,GATA3
305,26292,MYCBP
306,26511,CHIC2
307,26520,TIMM9
308,2673,GFPT1
309,2690,GHR
310,26993,AKAP8L
311,27032,ATP2C1
312,27095,TRAPPC3
313,27109,DMAC2L
314,27242,TNFRSF21
315,27244,SESN1
316,27336,HTATSF1
317,27346,TMEM97
318,2736,GLI2
319,2745,GLRX
320,2767,GNA11
321,2769,GNA15
322,2770,GNAI1
323,2771,GNAI2
324,2778,GNAS
325,2810,SFN
326,2817,GPC1
327,2852,GPER1
328,2886,GRB7
329,2887,GRB10
330,2896,GRN
331,28969,BZW2
332,2908,NR3C1
333,29082,CHMP4A
334,29083,GTPBP8
335,291,SLC25A4
336,29103,DNAJC15
337,2920,CXCL2
338,2946,GSTM2
339,2954,GSTZ1
340,2956,MSH6
341,2958,GTF2A2
342,2961,GTF2E2
343,29763,PACSIN3
344,29890,RBM15B
345,29911,HOOK2
346,29916,SNX11
347,29928,TIMM22
348,29937,NENF
349,29978,UBQLN2
350,30,ACAA1
351,30001,ERO1A
352,3028,HSD17B10
353,3033,HADH
354,3066,HDAC2
355,30836,DNTTIP2
356,30849,PIK3R4
357,3091,HIF1A
358,3098,HK1
359,310,ANXA7
360,3108,HLA-DMA
361,3122,HLA-DRA
362,3156,HMGCR
363,3157,HMGCS1
364,3162,HMOX1
365,3202,HOXA5
366,3206,HOXA10
367,323,APBB2
368,3251,HPRT1
369,3280,HES1
370,329,BIRC2
371,3300,DNAJB2
372,3303,HSPA1A
373,3308,HSPA4
374,3312,HSPA8
375,3315,HSPB1
376,332,BIRC5
377,3329,HSPD1
378,3337,DNAJB1
379,3383,ICAM1
380,3385,ICAM3
381,3398,ID2
382,3416,IDE
383,3454,IFNAR1
384,348,APOE
385,3480,IGF1R
386,3482,IGF2R
387,3486,IGFBP3
388,3508,IGHMBP2
389,351,APP
390,355,FAS
391,3551,IKBKB
392,3553,IL1B
393,3566,IL4R
394,3597,IL13RA1
395,3611,ILK
396,3628,INPP1
397,3638,INSIG1
398,3682,ITGAE
399,3693,ITGB5
400,3725,JUN
401,375346,STIMATE
402,3775,KCNK1
403,3800,KIF5C
404,3815,KIT
405,387,RHOA
406,388650,DIPK1A
407,3895,KTN1
408,39,ACAT2
409,3909,LAMA3
410,392,ARHGAP1
411,3925,STMN1
412,3930,LBR
413,3964,LGALS8
414,3978,LIG1
415,3988,LIPA
416,4016,LOXL1
417,4043,LRPAP1
418,4067,LYN
419,4088,SMAD3
420,4125,MAN2B1
421,4144,MAT2A
422,4154,MBNL1
423,4172,MCM3
424,4200,ME2
425,4208,MEF2C
426,4216,MAP3K4
427,4232,MEST
428,427,ASAH1
429,4282,MIF
430,4303,FOXO4
431,4312,MMP1
432,4313,MMP2
433,4331,MNAT1
434,4482,MSRA
435,4582,MUC1
436,4605,MYBL2
437,4609,MYC
438,4616,GADD45B
439,4638,MYLK
440,4651,MYO10
441,466,ATF1
442,4690,NCK1
443,47,ACLY
444,4775,NFATC3
445,4776,NFATC4
446,4780,NFE2L2
447,4783,NFIL3
448,4791,NFKB2
449,4792,NFKBIA
450,4793,NFKBIB
451,4794,NFKBIE
452,481,ATP1B1
453,4817,NIT1
