DiseaseName_raw,DiseaseName_norm
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 14,combined oxidative phosphorylation deficiency 14
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 15,combined oxidative phosphorylation deficiency 15
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 16,combined oxidative phosphorylation deficiency 16
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 17,combined oxidative phosphorylation deficiency 17
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 18,combined oxidative phosphorylation deficiency 18
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 19,combined oxidative phosphorylation deficiency 19
Combined Oxidative Phosphorylation Deficiency 2,combined oxidative phosphorylation deficiency 2
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 20,combined oxidative phosphorylation deficiency 20
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 21,combined oxidative phosphorylation deficiency 21
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 22,combined oxidative phosphorylation deficiency 22
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 23,combined oxidative phosphorylation deficiency 23
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 24,combined oxidative phosphorylation deficiency 24
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 25,combined oxidative phosphorylation deficiency 25
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 27,combined oxidative phosphorylation deficiency 27
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 28,combined oxidative phosphorylation deficiency 28
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 29,combined oxidative phosphorylation deficiency 29
Combined Oxidative Phosphorylation Deficiency 3,combined oxidative phosphorylation deficiency 3
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 30,combined oxidative phosphorylation deficiency 30
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 31,combined oxidative phosphorylation deficiency 31
Combined Oxidative Phosphorylation Deficiency 4,combined oxidative phosphorylation deficiency 4
Combined Oxidative Phosphorylation Deficiency 5,combined oxidative phosphorylation deficiency 5
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 6,combined oxidative phosphorylation deficiency 6
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 7,combined oxidative phosphorylation deficiency 7
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 8,combined oxidative phosphorylation deficiency 8
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 9,combined oxidative phosphorylation deficiency 9
Combined Pituitary Hormone Deficiency,combined pituitary hormone deficiency
Combined Saposin Deficiency,combined saposin deficiency
Common Variable Immunodeficiency,common variable immunodeficiency
Compartment Syndromes,compartment syndromes
COMPLEMENT COMPONENT 2 DEFICIENCY,complement component 2 deficiency
"Complement Component 3 Deficiency, Autosomal Recessive",complement component 3 deficiency autosomal recessive
"Complement Component 4, Partial Deficiency Of",complement component 4 partial deficiency of
Complement Component 4a Deficiency,complement component 4a deficiency
COMPLEMENT COMPONENT 4B DEFICIENCY,complement component 4b deficiency
Complement component 5 deficiency,complement component 5 deficiency
Complement Component 6 Deficiency,complement component 6 deficiency
Complement Component 7 Deficiency,complement component 7 deficiency
"COMPLEMENT COMPONENT 8 DEFICIENCY, TYPE I",complement component 8 deficiency type i
"COMPLEMENT COMPONENT 8 DEFICIENCY, TYPE II",complement component 8 deficiency type ii
Complement Component C1s Deficiency,complement component c1s deficiency
COMPLEMENT FACTOR B DEFICIENCY,complement factor b deficiency
Complement Factor D Deficiency,complement factor d deficiency
Complement Factor H Deficiency,complement factor h deficiency
Complement Factor I Deficiency,complement factor i deficiency
Cone Dystrophy 3,cone dystrophy 3
Cone Dystrophy 4,cone dystrophy 4
Cone-Rod Dystrophy 10,cone rod dystrophy 10
Cone-Rod Dystrophy 11,cone rod dystrophy 11
Cone-Rod Dystrophy 12,cone rod dystrophy 12
Cone-Rod Dystrophy 13,cone rod dystrophy 13
CONE-ROD DYSTROPHY 15,cone rod dystrophy 15
CONE-ROD DYSTROPHY 16,cone rod dystrophy 16
CONE-ROD DYSTROPHY 18,cone rod dystrophy 18
CONE-ROD DYSTROPHY 19,cone rod dystrophy 19
CONE-ROD DYSTROPHY 2,cone rod dystrophy 2
CONE-ROD DYSTROPHY 20,cone rod dystrophy 20
CONE-ROD DYSTROPHY 21,cone rod dystrophy 21
Cone-Rod Dystrophy 3,cone rod dystrophy 3
Cone-Rod Dystrophy 5,cone rod dystrophy 5
CONE-ROD DYSTROPHY 9,cone rod dystrophy 9
CONE-ROD DYSTROPHY AND HEARING LOSS 1,cone rod dystrophy and hearing loss 1
"CONE-ROD DYSTROPHY, X-LINKED, 1",cone rod dystrophy x linked 1
"Cone-Rod Dystrophy, X-Linked, 3",cone rod dystrophy x linked 3
"CONE-ROD SYNAPTIC DISORDER, CONGENITAL NONPROGRESSIVE",cone rod synaptic disorder congenital nonprogressive
Congenital Abnormalities,congenital abnormalities
Congenital adrenal hyperplasia due to 11-Beta-hydroxylase deficiency,congenital adrenal hyperplasia due to 11 beta hydroxylase deficiency
Congenital adrenal hyperplasia due to 21 hydroxylase deficiency,congenital adrenal hyperplasia due to 21 hydroxylase deficiency
Congenital amegakaryocytic thrombocytopenia,congenital amegakaryocytic thrombocytopenia
Congenital atransferrinemia,congenital atransferrinemia
Congenital bilateral aplasia of vas deferens,congenital bilateral aplasia of vas deferens
Congenital Bone Marrow Failure Syndromes,congenital bone marrow failure syndromes
"Congenital Cataracts, Facial Dysmorphism, And Neuropathy",congenital cataracts facial dysmorphism and neuropathy
Congenital central hypoventilation syndrome,congenital central hypoventilation syndrome
Congenital chloride diarrhea,congenital chloride diarrhea
Congenital contractural arachnodactyly,congenital contractural arachnodactyly
"CONGENITAL CONTRACTURES OF THE LIMBS AND FACE, HYPOTONIA, AND DEVELOPMENTAL DELAY",congenital contractures of the limbs and face hypotonia and developmental delay
CONGENITAL DISORDER OF DEGLYCOSYLATION 1,congenital disorder of deglycosylation 1
Congenital disorder of glycosylation type 1A,congenital disorder of glycosylation type 1a
Congenital disorder of glycosylation type 1B,congenital disorder of glycosylation type 1b
Congenital disorder of glycosylation type 1C,congenital disorder of glycosylation type 1c
Congenital disorder of glycosylation type 1D,congenital disorder of glycosylation type 1d
Congenital disorder of glycosylation type 1E,congenital disorder of glycosylation type 1e
Congenital disorder of glycosylation type 1F,congenital disorder of glycosylation type 1f
Congenital disorder of glycosylation type 1G,congenital disorder of glycosylation type 1g
Congenital disorder of glycosylation type 1H,congenital disorder of glycosylation type 1h
Congenital disorder of glycosylation type 1J,congenital disorder of glycosylation type 1j
Congenital disorder of glycosylation type 1K,congenital disorder of glycosylation type 1k
Congenital disorder of glycosylation type 1L,congenital disorder of glycosylation type 1l
Congenital disorder of glycosylation type 2A,congenital disorder of glycosylation type 2a
"Congenital disorder of glycosylation, type 2C",congenital disorder of glycosylation type 2c
Congenital disorder of glycosylation type 2D,congenital disorder of glycosylation type 2d
Congenital disorder of glycosylation type 2E,congenital disorder of glycosylation type 2e
"Congenital disorder of glycosylation, type 2G",congenital disorder of glycosylation type 2g
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iaa",congenital disorder of glycosylation type iaa
Congenital disorder of glycosylation type II,congenital disorder of glycosylation type ii
"Congenital Disorder Of Glycosylation, Type IIB",congenital disorder of glycosylation type iib
"Congenital Disorder Of Glycosylation, Type IIF",congenital disorder of glycosylation type iif
"Congenital Disorder Of Glycosylation, Type IIH",congenital disorder of glycosylation type iih
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIi",congenital disorder of glycosylation type iii
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIj",congenital disorder of glycosylation type iij
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIk",congenital disorder of glycosylation type iik
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIl",congenital disorder of glycosylation type iil
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIm",congenital disorder of glycosylation type iim
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIn",congenital disorder of glycosylation type iin
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIo",congenital disorder of glycosylation type iio
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIp",congenital disorder of glycosylation type iip
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIq",congenital disorder of glycosylation type iiq
"Congenital Disorder Of Glycosylation, Type Im",congenital disorder of glycosylation type im
"Congenital Disorder Of Glycosylation, Type In",congenital disorder of glycosylation type in
"Congenital Disorder of Glycosylation, Type Io",congenital disorder of glycosylation type io
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ip",congenital disorder of glycosylation type ip
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iq",congenital disorder of glycosylation type iq
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ir",congenital disorder of glycosylation type ir
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iu",congenital disorder of glycosylation type iu
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iw, AUTOSOMAL RECESSIVE",congenital disorder of glycosylation type iw autosomal recessive
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ix",congenital disorder of glycosylation type ix
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iy",congenital disorder of glycosylation type iy
CONGENITAL HEART DEFECTS AND ECTODERMAL DYSPLASIA,congenital heart defects and ectodermal dysplasia
"CONGENITAL HEART DEFECTS, DYSMORPHIC FACIAL FEATURES, AND INTELLECTUAL DEVELOPMENTAL DISORDER",congenital heart defects dysmorphic facial features and intellectual developmental disorder
"CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 2",congenital heart defects multiple types 2
"CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 4",congenital heart defects multiple types 4
"CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 6",congenital heart defects multiple types 6
Congenital Hemidysplasia with Ichthyosiform Erythroderma and Limb Defects,congenital hemidysplasia with ichthyosiform erythroderma and limb defects
Congenital Hyperinsulinism,congenital hyperinsulinism
Congenital Hypothyroidism,congenital hypothyroidism
Congenital idiopathic intestinal pseudoobstruction,congenital idiopathic intestinal pseudoobstruction
"Congenital Lipomatous Overgrowth, Vascular Malformations, and Epidermal Nevi",congenital lipomatous overgrowth vascular malformations and epidermal nevi
Congenital Microtia,congenital microtia
Congenital myasthenic syndrome ib,congenital myasthenic syndrome ib
Congenital myasthenic syndrome with episodic apnea,congenital myasthenic syndrome with episodic apnea
CONGENITAL MYOPATHY 24,congenital myopathy 24
"CONGENITAL MYOPATHY 2A, TYPICAL, AUTOSOMAL DOMINANT",congenital myopathy 2a typical autosomal dominant
"CONGENITAL MYOPATHY 7A, MYOSIN STORAGE, AUTOSOMAL DOMINANT",congenital myopathy 7a myosin storage autosomal dominant
"Congenital thrombotic disease, due to Protein C deficiency",congenital thrombotic disease due to protein c deficiency
Conjunctival Diseases,conjunctival diseases
Connective Tissue Diseases,connective tissue diseases
CONOTRUNCAL HEART MALFORMATIONS,conotruncal heart malformations
Contiguous Abcd1-Dxs1375e Deletion Syndrome,contiguous abcd1 dxs1375e deletion syndrome
Contracture,contracture
Copper-Overload Cirrhosis,copper overload cirrhosis
"Coproporphyria, Hereditary",coproporphyria hereditary
Cornea Plana 2,cornea plana 2
Corneal Diseases,corneal diseases
"Corneal Dystrophies, Hereditary",corneal dystrophies hereditary
Corneal dystrophy and perceptive deafness,corneal dystrophy and perceptive deafness
Corneal dystrophy Avellino type,corneal dystrophy avellino type
"Corneal Dystrophy, Congenital Stromal",corneal dystrophy congenital stromal
"Corneal Dystrophy, Crystalline, of Schnyder",corneal dystrophy crystalline of schnyder
"Corneal dystrophy, epithelial basement membrane",corneal dystrophy epithelial basement membrane
"Corneal Dystrophy, Fleck",corneal dystrophy fleck
"Corneal dystrophy, Fuchs' endothelial, 1",corneal dystrophy fuchs endothelial 1
"Corneal Dystrophy, Fuchs Endothelial, 3",corneal dystrophy fuchs endothelial 3
"Corneal Dystrophy, Fuchs Endothelial, 4",corneal dystrophy fuchs endothelial 4
"Corneal Dystrophy, Fuchs Endothelial, 6",corneal dystrophy fuchs endothelial 6
"CORNEAL DYSTROPHY, FUCHS ENDOTHELIAL, 8",corneal dystrophy fuchs endothelial 8
"Corneal dystrophy, gelatinous drop-like",corneal dystrophy gelatinous drop like
"Corneal Dystrophy, Juvenile Epithelial of Meesmann",corneal dystrophy juvenile epithelial of meesmann
"Corneal Dystrophy, Lattice Type IIIA",corneal dystrophy lattice type iiia
"Corneal Dystrophy, Lisch Epithelial",corneal dystrophy lisch epithelial
"Corneal dystrophy of Bowman layer, type 1",corneal dystrophy of bowman layer type 1
"Corneal Dystrophy, Posterior Polymorphous, 1",corneal dystrophy posterior polymorphous 1
"Corneal Dystrophy, Posterior Polymorphous, 2",corneal dystrophy posterior polymorphous 2
"Corneal Dystrophy, Posterior Polymorphous, 3",corneal dystrophy posterior polymorphous 3
"Corneal dystrophy, Thiel-Behnke type",corneal dystrophy thiel behnke type
Corneal endothelial dystrophy type 2,corneal endothelial dystrophy type 2
Corneal Injuries,corneal injuries
Corneal Neovascularization,corneal neovascularization
Corneal Ulcer,corneal ulcer
Coronary Aneurysm,coronary aneurysm
"Coronary Artery Disease, Autosomal Dominant, 1",coronary artery disease autosomal dominant 1
"Coronary Artery Disease, Autosomal Dominant 2",coronary artery disease autosomal dominant 2
"Coronary Artery Dissection, Spontaneous",coronary artery dissection spontaneous
Coronary Disease,coronary disease
Coronary Restenosis,coronary restenosis
Coronary Stenosis,coronary stenosis
Coronary Thrombosis,coronary thrombosis
Coronary Vasospasm,coronary vasospasm
Coronary Vessel Anomalies,coronary vessel anomalies
Coronavirus Infections,coronavirus infections
Corpus callosum agenesis neuronopathy,corpus callosum agenesis neuronopathy
"CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND CEREBELLAR ATAXIA",corpus callosum agenesis of with facial anomalies and cerebellar ataxia
"Corpus Callosum, Agenesis of, with Mental Retardation, Ocular Coloboma, and Micrognathia",corpus callosum agenesis of with mental retardation ocular coloboma and micrognathia
"Corpus Callosum, Partial Agenesis of, X-Linked",corpus callosum partial agenesis of x linked
"CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 1",cortical dysplasia complex with other brain malformations 1
"CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 13",cortical dysplasia complex with other brain malformations 13
"CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 2",cortical dysplasia complex with other brain malformations 2
"CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 3",cortical dysplasia complex with other brain malformations 3
"CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 4",cortical dysplasia complex with other brain malformations 4
"CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 5",cortical dysplasia complex with other brain malformations 5
"CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 6",cortical dysplasia complex with other brain malformations 6
"CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 7",cortical dysplasia complex with other brain malformations 7
Cortical Dysplasia-Focal Epilepsy Syndrome,cortical dysplasia focal epilepsy syndrome
"CORTICAL MALFORMATIONS, OCCIPITAL",cortical malformations occipital
Corticosteroid-Binding Globulin Deficiency,corticosteroid binding globulin deficiency
Cortisone reductase deficiency,cortisone reductase deficiency
Costeff optic atrophy syndrome,costeff optic atrophy syndrome
Costello Syndrome,costello syndrome
Coumarin Resistance,coumarin resistance
COUSIN SYNDROME,cousin syndrome
COVID-19,covid 19
Cowchock syndrome,cowchock syndrome
COWDEN SYNDROME 4,cowden syndrome 4
COWDEN SYNDROME 5,cowden syndrome 5
COWDEN SYNDROME 6,cowden syndrome 6
COWDEN SYNDROME 7,cowden syndrome 7
Coxsackievirus Infections,coxsackievirus infections
Craniocerebral Trauma,craniocerebral trauma
"Craniodiaphyseal Dysplasia, Autosomal Dominant",craniodiaphyseal dysplasia autosomal dominant
Cranioectodermal Dysplasia,cranioectodermal dysplasia
Craniofacial Abnormalities,craniofacial abnormalities
CRANIOFACIAL ANOMALIES AND ANTERIOR SEGMENT DYSGENESIS SYNDROME,craniofacial anomalies and anterior segment dysgenesis syndrome
Craniofacial deafness hand syndrome,craniofacial deafness hand syndrome
Craniofacial Dysostosis,craniofacial dysostosis
Craniofrontonasal dysplasia,craniofrontonasal dysplasia
Craniolenticulosutural Dysplasia,craniolenticulosutural dysplasia
"Craniometaphyseal Dysplasia, Autosomal Dominant",craniometaphyseal dysplasia autosomal dominant
"Craniometaphyseal dysplasia, autosomal recessive type",craniometaphyseal dysplasia autosomal recessive type
Craniopharyngioma,craniopharyngioma
Craniosynostoses,craniosynostoses
"Craniosynostosis, anal anomalies, and porokeratosis",craniosynostosis anal anomalies and porokeratosis
CRANIOSYNOSTOSIS AND DENTAL ANOMALIES,craniosynostosis and dental anomalies
Craniosynostosis radial aplasia syndrome,craniosynostosis radial aplasia syndrome
"Craniosynostosis, Type 2",craniosynostosis type 2
"Creatine deficiency, X-linked",creatine deficiency x linked
"CREATINE PHOSPHOKINASE, ELEVATED SERUM",creatine phosphokinase elevated serum
Creutzfeldt-Jakob Syndrome,creutzfeldt jakob syndrome
Cri-du-Chat Syndrome,cri du chat syndrome
Crigler-Najjar Syndrome,crigler najjar syndrome
"Crigler Najjar syndrome, type 2",crigler najjar syndrome type 2
Crisponi syndrome,crisponi syndrome
Critical Illness,critical illness
Crohn Disease,crohn disease
Crouzon Syndrome With Acanthosis Nigricans,crouzon syndrome with acanthosis nigricans
"Cryohydrocytosis, Stomatin-Deficient, with Mental Retardation, Seizures, Cataracts, and Massive Hepatosplenomegaly",cryohydrocytosis stomatin deficient with mental retardation seizures cataracts and massive hepatosplenomegaly
Cryopyrin-Associated Periodic Syndromes,cryopyrin associated periodic syndromes
Cryptorchidism,cryptorchidism
CULLER-JONES SYNDROME,culler jones syndrome
Currarino triad,currarino triad
Cushing's symphalangism,cushing s symphalangism
Cushing Syndrome,cushing syndrome
"CUTANEOUS TELANGIECTASIA AND CANCER SYNDROME, FAMILIAL",cutaneous telangiectasia and cancer syndrome familial
Cutis Gyrata Syndrome of Beare And Stevenson,cutis gyrata syndrome of beare and stevenson
Cutis Laxa,cutis laxa
"Cutis Laxa, Autosomal Dominant",cutis laxa autosomal dominant
"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IA",cutis laxa autosomal recessive type ia
"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IB",cutis laxa autosomal recessive type ib
"Cutis Laxa, Autosomal Recessive, Type IIA",cutis laxa autosomal recessive type iia
"Cutis Laxa, Autosomal Recessive, Type IIB",cutis laxa autosomal recessive type iib
"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIC",cutis laxa autosomal recessive type iic
"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IID",cutis laxa autosomal recessive type iid
"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIIA",cutis laxa autosomal recessive type iiia
"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIIB",cutis laxa autosomal recessive type iiib
"Cutis laxa, recessive",cutis laxa recessive
"Cutis Laxa With Severe Pulmonary, Gastrointestinal, And Urinary Abnormalities",cutis laxa with severe pulmonary gastrointestinal and urinary abnormalities
"CYANOSIS, TRANSIENT NEONATAL",cyanosis transient neonatal
Cyclic neutropenia,cyclic neutropenia
Cystic Fibrosis,cystic fibrosis
"CYSTIC FIBROSIS, MODIFIER OF, 1",cystic fibrosis modifier of 1
Cystic Kidney Disease with Ventriculomegaly,cystic kidney disease with ventriculomegaly
Cystinosis,cystinosis
"Cystinosis, Late-Onset Juvenile or Adolescent Nephropathic Type",cystinosis late onset juvenile or adolescent nephropathic type
"Cystinosis, ocular nonnephropathic",cystinosis ocular nonnephropathic
Cystinuria,cystinuria
"Cystitis, Interstitial",cystitis interstitial
Cysts,cysts
Cytochrome-c Oxidase Deficiency,cytochrome c oxidase deficiency
Cytomegalovirus Infections,cytomegalovirus infections
Cytosolic acetoacetyl-CoA thiolase deficiency,cytosolic acetoacetyl coa thiolase deficiency
"Czech dysplasia, metatarsal type",czech dysplasia metatarsal type
D-BIFUNCTIONAL PROTEIN DEFICIENCY,d bifunctional protein deficiency
D-glycericacidemia,d glycericacidemia
Dandy-Walker Syndrome,dandy walker syndrome
Darier Disease,darier disease
De Lange Syndrome,de lange syndrome
De Sanctis-Cacchione syndrome,de sanctis cacchione syndrome
"Deafness, Aminoglycoside-Induced",deafness aminoglycoside induced
DEAFNESS AND MYOPIA,deafness and myopia
"Deafness, Autosomal Dominant 1",deafness autosomal dominant 1
"Deafness, Autosomal Dominant 10",deafness autosomal dominant 10
"Deafness, Autosomal Dominant 11",deafness autosomal dominant 11
"Deafness, Autosomal Dominant 12",deafness autosomal dominant 12
"Deafness, Autosomal Dominant 13",deafness autosomal dominant 13
"DEAFNESS, AUTOSOMAL DOMINANT 15",deafness autosomal dominant 15
"Deafness, Autosomal Dominant 20",deafness autosomal dominant 20
"Deafness, Autosomal Dominant 21",deafness autosomal dominant 21
"DEAFNESS, AUTOSOMAL DOMINANT 22;DFNA22 DEAFNESS, AUTOSOMAL DOMINANT 22, WITH HYPERTROPHIC CARDIOMYOPATHY,",deafness autosomal dominant 22 dfna22 deafness autosomal dominant 22 with hypertrophic cardiomyopathy
"Deafness, Autosomal Dominant 23",deafness autosomal dominant 23
"Deafness, Autosomal Dominant 25",deafness autosomal dominant 25
"DEAFNESS, AUTOSOMAL DOMINANT 27",deafness autosomal dominant 27
"Deafness, Autosomal Dominant 28",deafness autosomal dominant 28
"Deafness, Autosomal Dominant 2A",deafness autosomal dominant 2a
"Deafness, Autosomal Dominant 2B",deafness autosomal dominant 2b
"Deafness, Autosomal Dominant 36",deafness autosomal dominant 36
"Deafness, Autosomal Dominant 39, with Dentinogenesis Imperfecta 1",deafness autosomal dominant 39 with dentinogenesis imperfecta 1
"Deafness, Autosomal Dominant 3A",deafness autosomal dominant 3a
"Deafness, Autosomal Dominant 3B",deafness autosomal dominant 3b
"DEAFNESS, AUTOSOMAL DOMINANT 40",deafness autosomal dominant 40
"Deafness, Autosomal Dominant 41",deafness autosomal dominant 41
"Deafness, Autosomal Dominant 44",deafness autosomal dominant 44
"Deafness, Autosomal Dominant 48",deafness autosomal dominant 48
"DEAFNESS, AUTOSOMAL DOMINANT 4A",deafness autosomal dominant 4a
"DEAFNESS, AUTOSOMAL DOMINANT 4B",deafness autosomal dominant 4b
"Deafness, Autosomal Dominant 5",deafness autosomal dominant 5
"DEAFNESS, AUTOSOMAL DOMINANT 50",deafness autosomal dominant 50
"DEAFNESS, AUTOSOMAL DOMINANT 56",deafness autosomal dominant 56
"Deafness, Autosomal Dominant 6",deafness autosomal dominant 6
"DEAFNESS, AUTOSOMAL DOMINANT 64",deafness autosomal dominant 64
"DEAFNESS, AUTOSOMAL DOMINANT 65",deafness autosomal dominant 65
"DEAFNESS, AUTOSOMAL DOMINANT 66",deafness autosomal dominant 66
"DEAFNESS, AUTOSOMAL DOMINANT 67",deafness autosomal dominant 67
"DEAFNESS, AUTOSOMAL DOMINANT 68",deafness autosomal dominant 68
"DEAFNESS, AUTOSOMAL DOMINANT 69",deafness autosomal dominant 69
"Deafness, Autosomal Dominant 7",deafness autosomal dominant 7
"DEAFNESS, AUTOSOMAL DOMINANT 70",deafness autosomal dominant 70
"Deafness, Autosomal Dominant 9",deafness autosomal dominant 9
"Deafness, autosomal dominant nonsyndromic sensorineural 17",deafness autosomal dominant nonsyndromic sensorineural 17
"DEAFNESS, AUTOSOMAL RECESSIVE 101",deafness autosomal recessive 101
"DEAFNESS, AUTOSOMAL RECESSIVE 102",deafness autosomal recessive 102
"DEAFNESS, AUTOSOMAL RECESSIVE 103",deafness autosomal recessive 103
"DEAFNESS, AUTOSOMAL RECESSIVE 104",deafness autosomal recessive 104
"Deafness, Autosomal Recessive 12",deafness autosomal recessive 12
"Deafness, Autosomal Recessive 15",deafness autosomal recessive 15
"Deafness, Autosomal Recessive 16",deafness autosomal recessive 16
"DEAFNESS, AUTOSOMAL RECESSIVE 18A",deafness autosomal recessive 18a
"DEAFNESS, AUTOSOMAL RECESSIVE 18B",deafness autosomal recessive 18b
"Deafness, Autosomal Recessive 1A",deafness autosomal recessive 1a
"Deafness, Autosomal Recessive 1b",deafness autosomal recessive 1b
"Deafness, Autosomal Recessive 2",deafness autosomal recessive 2
"Deafness, Autosomal Recessive 21",deafness autosomal recessive 21
"Deafness, Autosomal Recessive 22",deafness autosomal recessive 22
"Deafness, Autosomal Recessive 23",deafness autosomal recessive 23
"Deafness, Autosomal Recessive, 24",deafness autosomal recessive 24
"DEAFNESS, AUTOSOMAL RECESSIVE 25",deafness autosomal recessive 25
"Deafness, Autosomal Recessive 26",deafness autosomal recessive 26
"DEAFNESS, AUTOSOMAL RECESSIVE 26, MODIFIER OF",deafness autosomal recessive 26 modifier of
"Deafness, Autosomal Recessive 28",deafness autosomal recessive 28
"DEAFNESS, AUTOSOMAL RECESSIVE 29",deafness autosomal recessive 29
"Deafness, Autosomal Recessive 3",deafness autosomal recessive 3
"Deafness, Autosomal Recessive 30",deafness autosomal recessive 30
"Deafness, Autosomal Recessive 31",deafness autosomal recessive 31
"Deafness, Autosomal Recessive 32",deafness autosomal recessive 32
"Deafness, Autosomal Recessive 35",deafness autosomal recessive 35
"DEAFNESS, AUTOSOMAL RECESSIVE 36, WITH OR WITHOUT VESTIBULAR INVOLVEMENT;DFNB36 DEAFNESS, AUTOSOMAL DOMINANT, WITHOUT VESTIBULAR INVOLVEMENT,",deafness autosomal recessive 36 with or without vestibular involvement dfnb36 deafness autosomal dominant without vestibular involvement
"Deafness, Autosomal Recessive 37",deafness autosomal recessive 37
"Deafness, Autosomal Recessive 39",deafness autosomal recessive 39
"DEAFNESS, AUTOSOMAL RECESSIVE 4, WITH ENLARGED VESTIBULAR AQUEDUCT",deafness autosomal recessive 4 with enlarged vestibular aqueduct
"Deafness, Autosomal Recessive 42",deafness autosomal recessive 42
"Deafness, Autosomal Recessive 44",deafness autosomal recessive 44
"Deafness, Autosomal Recessive 48",deafness autosomal recessive 48
"Deafness, Autosomal Recessive 49",deafness autosomal recessive 49
"Deafness, Autosomal Recessive 53",deafness autosomal recessive 53
"Deafness, Autosomal Recessive 59",deafness autosomal recessive 59
"Deafness, Autosomal Recessive 6",deafness autosomal recessive 6
"DEAFNESS, AUTOSOMAL RECESSIVE 61",deafness autosomal recessive 61
"Deafness, Autosomal Recessive 63",deafness autosomal recessive 63
"Deafness, Autosomal Recessive 66",deafness autosomal recessive 66
"Deafness, Autosomal Recessive 67",deafness autosomal recessive 67
"Deafness, Autosomal Recessive 68",deafness autosomal recessive 68
"Deafness, Autosomal Recessive 7",deafness autosomal recessive 7
"DEAFNESS, AUTOSOMAL RECESSIVE 70, WITH OR WITHOUT ADULT-ONSET NEURODEGENERATION",deafness autosomal recessive 70 with or without adult onset neurodegeneration
"DEAFNESS, AUTOSOMAL RECESSIVE 74",deafness autosomal recessive 74
"DEAFNESS, AUTOSOMAL RECESSIVE 76",deafness autosomal recessive 76
"Deafness, Autosomal Recessive 77",deafness autosomal recessive 77
"Deafness, Autosomal Recessive 79",deafness autosomal recessive 79
"DEAFNESS, AUTOSOMAL RECESSIVE 8",deafness autosomal recessive 8
