DiseaseName_raw,DiseaseName_norm
Adenocarcinoma of Lung,adenocarcinoma of lung
Adenoma,adenoma
"Adenoma, Liver Cell",adenoma liver cell
"Adenoma, Oxyphilic",adenoma oxyphilic
Adenomatous Polyposis Coli,adenomatous polyposis coli
Adenomatous Polyps,adenomatous polyps
Adenosine monophosphate deaminase deficiency,adenosine monophosphate deaminase deficiency
"Adenosine Triphosphate, Elevated, Of Erythrocytes",adenosine triphosphate elevated of erythrocytes
"Adenylate Kinase Deficiency, Hemolytic Anemia Due To",adenylate kinase deficiency hemolytic anemia due to
Adenylosuccinate lyase deficiency,adenylosuccinate lyase deficiency
"ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 2",adiponectin serum level of quantitative trait locus 2
"ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 3",adiponectin serum level of quantitative trait locus 3
Adjustment Disorders,adjustment disorders
Adrenal Cortex Diseases,adrenal cortex diseases
Adrenal Gland Diseases,adrenal gland diseases
Adrenal Gland Neoplasms,adrenal gland neoplasms
Adrenal hyperplasia 2,adrenal hyperplasia 2
"Adrenal Hyperplasia, Congenital",adrenal hyperplasia congenital
"Adrenal hyperplasia, congenital, type 5",adrenal hyperplasia congenital type 5
"Adrenal Insufficiency, Congenital, With 46,Xy Sex Reversal",adrenal insufficiency congenital with 46 xy sex reversal
Adrenocortical Adenoma,adrenocortical adenoma
Adrenocortical Carcinoma,adrenocortical carcinoma
"Adrenocortical Carcinoma, Hereditary",adrenocortical carcinoma hereditary
Adrenoleukodystrophy,adrenoleukodystrophy
Adult-onset citrullinemia type 2,adult onset citrullinemia type 2
"Advanced Sleep-Phase Syndrome, Familial",advanced sleep phase syndrome familial
Afibrinogenemia,afibrinogenemia
Agammaglobulinemia,agammaglobulinemia
"AGAMMAGLOBULINEMIA 7, AUTOSOMAL RECESSIVE",agammaglobulinemia 7 autosomal recessive
"Agammaglobulinemia, X-linked, type 2",agammaglobulinemia x linked type 2
Agenesis of Cerebellar Vermis,agenesis of cerebellar vermis
Agenesis of Corpus Callosum,agenesis of corpus callosum
Aggressive Periodontitis,aggressive periodontitis
"Aging, Premature",aging premature
Agricultural Workers' Diseases,agricultural workers diseases
AICAR Transformylase Inosine Monophosphate Cyclohydrolase Deficiency,aicar transformylase inosine monophosphate cyclohydrolase deficiency
Aicardi-Goutieres syndrome,aicardi goutieres syndrome
Aicardi-Goutieres Syndrome 3,aicardi goutieres syndrome 3
Aicardi-Goutieres Syndrome 4,aicardi goutieres syndrome 4
Aicardi-Goutieres syndrome 5,aicardi goutieres syndrome 5
AIDS Dementia Complex,aids dementia complex
AIDS-related Kaposi sarcoma,aids related kaposi sarcoma
AIDS-Related Opportunistic Infections,aids related opportunistic infections
Airway Obstruction,airway obstruction
Airway Remodeling,airway remodeling
Al Awadi syndrome,al awadi syndrome
AL-RAQAD SYNDROME,al raqad syndrome
