DiseaseName_raw,DiseaseName_norm,mapped_adr_id,mapped_adr_name,GeneSymbol,DiseaseID,DirectEvidence,PubMedIDs
Colorectal Neoplasms,colorectal neoplasms,,,ABCA1,MESH:D015179,marker/mechanism,22294766
"Hdl Deficiency, Type 2",hdl deficiency type 2,,,ABCA1,MESH:C538394,marker/mechanism,10431236|11476965
Hypercholesterolemia,hypercholesterolemia,,,ABCA1,MESH:D006937,marker/mechanism,22022523
Hyperlipoproteinemia Type II,hyperlipoproteinemia type ii,,,ABCA1,MESH:D006938,marker/mechanism,16030523
Hypoalphalipoproteinemias,hypoalphalipoproteinemias,,,ABCA1,MESH:D052456,marker/mechanism,
"Kidney Failure, Chronic",kidney failure chronic,,,ABCA1,MESH:D007676,marker/mechanism,19878707
"Leukemia, Promyelocytic, Acute",leukemia promyelocytic acute,,,ABCA1,MESH:D015473,marker/mechanism,32929351
Peripheral Nervous System Diseases,peripheral nervous system diseases,,,ABCA1,MESH:D010523,marker/mechanism,21245421
Tangier Disease,tangier disease,,,ABCA1,MESH:D013631,marker/mechanism,10431236|11476965|17710129
Colorectal Neoplasms,colorectal neoplasms,,,ABCA10,MESH:D015179,marker/mechanism,22294766
Colorectal Neoplasms,colorectal neoplasms,,,ABCA12,MESH:D015179,marker/mechanism,22294766
Harlequin type ichthyosis,harlequin type ichthyosis,,,ABCA12,MESH:C538424,marker/mechanism,
"Ichthyosis, Lamellar",ichthyosis lamellar,,,ABCA12,MESH:D017490,marker/mechanism,16675967
"Lamellar ichthyosis, type 2",lamellar ichthyosis type 2,,,ABCA12,MESH:C537264,marker/mechanism,
Recurrence,recurrence,,,ABCA12,MESH:D012008,marker/mechanism,35837087
Thyroid Neoplasms,thyroid neoplasms,,,ABCA12,MESH:D013964,marker/mechanism,35837087
Colorectal Neoplasms,colorectal neoplasms,,,ABCA13,MESH:D015179,marker/mechanism,22294766
Disease Progression,disease progression,C0242656,Disease progression,ABCA13,MESH:D018450,marker/mechanism,22294766
Autism Spectrum Disorder,autism spectrum disorder,,,ABCA2,MESH:D000067877,marker/mechanism,35663546
Colorectal Neoplasms,colorectal neoplasms,,,ABCA3,MESH:D015179,marker/mechanism,22294766
Emphysema,emphysema,C0034067,Emphysema,ABCA3,MESH:D004646,marker/mechanism,26780485
"Hypertension, Pulmonary",hypertension pulmonary,,,ABCA3,MESH:D006976,marker/mechanism,26780485
Pulmonary Fibrosis,pulmonary fibrosis,C0034069,Pulmonary fibrosis,ABCA3,MESH:D011658,marker/mechanism,26780485
"Surfactant Metabolism Dysfunction, Pulmonary, 3",surfactant metabolism dysfunction pulmonary 3,,,ABCA3,MESH:C567046,marker/mechanism,
Cleft Lip,cleft lip,C0008924,Cleft lip,ABCA4,MESH:D002971,marker/mechanism,20436469
Colorectal Neoplasms,colorectal neoplasms,,,ABCA4,MESH:D015179,marker/mechanism,22294766
Cone-Rod Dystrophy 3,cone rod dystrophy 3,,,ABCA4,MESH:C565827,marker/mechanism,
Familial Exudative Vitreoretinopathies,familial exudative vitreoretinopathies,,,ABCA4,MESH:D000080345,marker/mechanism,29207047
Macular Degeneration,macular degeneration,C0024437,Macular degeneration,ABCA4,MESH:D008268,marker/mechanism,16968212
"Macular Degeneration, Age-Related, 2",macular degeneration age related 2,,,ABCA4,MESH:C562479,marker/mechanism,
Retinitis Pigmentosa,retinitis pigmentosa,,,ABCA4,MESH:D012174,marker/mechanism,16968212
Retinitis pigmentosa 1,retinitis pigmentosa 1,,,ABCA4,MESH:C538365,marker/mechanism,
Retinitis Pigmentosa 19,retinitis pigmentosa 19,,,ABCA4,MESH:C566637,marker/mechanism,
Stargardt Disease,stargardt disease,,,ABCA4,MESH:D000080362,marker/mechanism,
Colorectal Neoplasms,colorectal neoplasms,,,ABCA5,MESH:D015179,marker/mechanism,22294766
"Hypertrichosis Terminalis, Generalized, with or without Gingival Hyperplasia",hypertrichosis terminalis generalized with or without gingival hyperplasia,,,ABCA5,MESH:C565016,marker/mechanism,
Colorectal Neoplasms,colorectal neoplasms,,,ABCA6,MESH:D015179,marker/mechanism,22294766
"Dermatitis, Allergic Contact",dermatitis allergic contact,,,ABCA6,MESH:D017449,marker/mechanism,17374397
Alzheimer Disease,alzheimer disease,,,ABCA7,MESH:D000544,marker/mechanism,21460840|25807283
Alzheimer Disease 9,alzheimer disease 9,,,ABCA7,MESH:C563834,marker/mechanism,
Disease Progression,disease progression,C0242656,Disease progression,ABCA7,MESH:D018450,marker/mechanism,22294766
Autism Spectrum Disorder,autism spectrum disorder,,,ABCA8,MESH:D000067877,marker/mechanism,35663546
Breast Neoplasms,breast neoplasms,,,ABCA8,MESH:D001943,marker/mechanism,35191604
Colorectal Neoplasms,colorectal neoplasms,,,ABCA8,MESH:D015179,marker/mechanism,22294766
Recurrence,recurrence,,,ABCA8,MESH:D012008,marker/mechanism,35837087
Thyroid Neoplasms,thyroid neoplasms,,,ABCA8,MESH:D013964,marker/mechanism,35837087
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,ABCA8A,MESH:D008106,marker/mechanism,25380136
Colorectal Neoplasms,colorectal neoplasms,,,ABCA9,MESH:D015179,marker/mechanism,22294766
Adrenocortical Carcinoma,adrenocortical carcinoma,,,ABCB1,MESH:D018268,marker/mechanism,12015757
"Arthritis, Experimental",arthritis experimental,,,ABCB1,MESH:D001169,marker/mechanism,17827786
"Arthritis, Rheumatoid",arthritis rheumatoid,,,ABCB1,MESH:D001172,marker/mechanism,20080907|22104130
Autism Spectrum Disorder,autism spectrum disorder,,,ABCB1,MESH:D000067877,marker/mechanism,35663546
Breast Neoplasms,breast neoplasms,,,ABCB1,MESH:D001943,marker/mechanism,22311042
Carcinoma,carcinoma,,,ABCB1,MESH:D002277,marker/mechanism,21332314
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,ABCB1,MESH:D006528,marker/mechanism,17510421
"Carcinoma, Non-Small-Cell Lung",carcinoma non small cell lung,,,ABCB1,MESH:D002289,marker/mechanism,20627363
Chemical and Drug Induced Liver Injury,chemical and drug induced liver injury,,,ABCB1,MESH:D056486,marker/mechanism,20623750
Colorectal Neoplasms,colorectal neoplasms,,,ABCB1,MESH:D015179,marker/mechanism,22294766|23977225
Disease Progression,disease progression,C0242656,Disease progression,ABCB1,MESH:D018450,marker/mechanism,20627363
Drug-Related Side Effects and Adverse Reactions,drug related side effects and adverse reactions,,,ABCB1,MESH:D064420,marker/mechanism,18381794|20563569|21064136|25007187
Epilepsy,epilepsy,C0014544,Epilepsy,ABCB1,MESH:D004827,marker/mechanism,19570321|8001500
Escherichia coli Infections,escherichia coli infections,,,ABCB1,MESH:D004927,marker/mechanism,24498193
Esophageal Neoplasms,esophageal neoplasms,,,ABCB1,MESH:D004938,marker/mechanism,21332314
Genetic Predisposition to Disease,genetic predisposition to disease,,,ABCB1,MESH:D020022,marker/mechanism,22311042
"Heart Defects, Congenital",heart defects congenital,,,ABCB1,MESH:D006330,marker/mechanism,23874772
Hematologic Neoplasms,hematologic neoplasms,,,ABCB1,MESH:D019337,marker/mechanism,22311042
"Hypotension, Orthostatic",hypotension orthostatic,,,ABCB1,MESH:D007024,marker/mechanism,12082591
Inflammatory Bowel Disease 13,inflammatory bowel disease 13,,,ABCB1,MESH:C567384,marker/mechanism,
Kidney Neoplasms,kidney neoplasms,,,ABCB1,MESH:D007680,marker/mechanism,22311042
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,ABCB1,MESH:D008106,marker/mechanism,17072980
"Lymphoma, Large B-Cell, Diffuse",lymphoma large b cell diffuse,,,ABCB1,MESH:D016403,marker/mechanism,21325069
Marijuana Abuse,marijuana abuse,,,ABCB1,MESH:D002189,marker/mechanism,19625010
Mental Disorders,mental disorders,,,ABCB1,MESH:D001523,marker/mechanism,17015054
Nausea,nausea,C0027497,Nausea,ABCB1,MESH:D009325,marker/mechanism,21840870
Neoplasm Metastasis,neoplasm metastasis,,,ABCB1,MESH:D009362,marker/mechanism,12015757
Neoplasms,neoplasms,,,ABCB1,MESH:D009369,marker/mechanism,22269388
Nervous System Diseases,nervous system diseases,,,ABCB1,MESH:D009422,marker/mechanism,17015054|21064136
Neuroblastoma,neuroblastoma,,,ABCB1,MESH:D009447,marker/mechanism,8761367
Neurotoxicity Syndromes,neurotoxicity syndromes,,,ABCB1,MESH:D020258,marker/mechanism,12352921
Neutropenia,neutropenia,C0027947,Neutropenia,ABCB1,MESH:D009503,marker/mechanism,16950614|25007187
"Pain, Postoperative",pain postoperative,,,ABCB1,MESH:D010149,therapeutic,20627697
Parkinson Disease,parkinson disease,,,ABCB1,MESH:D010300,marker/mechanism,20558393
"Parkinson Disease, Secondary",parkinson disease secondary,,,ABCB1,MESH:D010302,marker/mechanism,26457621
Peripheral Nervous System Diseases,peripheral nervous system diseases,,,ABCB1,MESH:D010523,marker/mechanism,16950614
Poisoning,poisoning,C0032343,Poisoning,ABCB1,MESH:D011041,therapeutic,23562926
Precursor Cell Lymphoblastic Leukemia-Lymphoma,precursor cell lymphoblastic leukemia lymphoma,,,ABCB1,MESH:D054198,marker/mechanism,22674224
Squamous Cell Carcinoma of Head and Neck,squamous cell carcinoma of head and neck,,,ABCB1,MESH:D000077195,marker/mechanism,25275603
"Translocation, Genetic",translocation genetic,,,ABCB1,MESH:D014178,marker/mechanism,21325069
Vomiting,vomiting,C0042963,Vomiting,ABCB1,MESH:D014839,marker/mechanism,21840870
Colorectal Neoplasms,colorectal neoplasms,,,ABCB10,MESH:D015179,marker/mechanism,22294766
Afibrinogenemia,afibrinogenemia,,,ABCB11,MESH:D000347,marker/mechanism,22120137
Cholestasis,cholestasis,C0008370,Cholestasis,ABCB11,MESH:D002779,marker/mechanism,11179459|22461449|24713091
"CHOLESTASIS, BENIGN RECURRENT INTRAHEPATIC, 2",cholestasis benign recurrent intrahepatic 2,,,ABCB11,OMIM:605479,marker/mechanism,
"Cholestasis, Intrahepatic",cholestasis intrahepatic,,,ABCB11,MESH:D002780,marker/mechanism,18049162
"Cholestasis, progressive familial intrahepatic 1",cholestasis progressive familial intrahepatic 1,,,ABCB11,MESH:C535933,marker/mechanism,21056966
"Cholestasis, progressive familial intrahepatic 2",cholestasis progressive familial intrahepatic 2,,,ABCB11,MESH:C535934,marker/mechanism,36142670
"Cholestasis, progressive familial intrahepatic 3",cholestasis progressive familial intrahepatic 3,,,ABCB11,MESH:C535935,marker/mechanism,
Colorectal Neoplasms,colorectal neoplasms,,,ABCB11,MESH:D015179,marker/mechanism,22294766
Pruritus,pruritus,C0033774,Pruritus,ABCB11,MESH:D011537,marker/mechanism,18049162
Cardiomyopathies,cardiomyopathies,,,ABCB1A,MESH:D009202,marker/mechanism,33171190
Chemical and Drug Induced Liver Injury,chemical and drug induced liver injury,,,ABCB1A,MESH:D056486,marker/mechanism,26134275
Diarrhea,diarrhea,,,ABCB1A,MESH:D003967,marker/mechanism,32387182
Drug-Related Side Effects and Adverse Reactions,drug related side effects and adverse reactions,,,ABCB1A,MESH:D064420,marker/mechanism,24502637|28193520|32387182
Heart Diseases,heart diseases,,,ABCB1A,MESH:D006331,marker/mechanism,16844662
Hyperlipidemias,hyperlipidemias,,,ABCB1A,MESH:D006949,marker/mechanism,24502637
Kidney Diseases,kidney diseases,,,ABCB1A,MESH:D007674,marker/mechanism,24502637
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,ABCB1A,MESH:D008106,marker/mechanism,16182555
Pain,pain,C0030193,Pain,ABCB1A,MESH:D010146,therapeutic,28193520
Reperfusion Injury,reperfusion injury,,,ABCB1A,MESH:D015427,marker/mechanism,22749977
Seizures,seizures,,,ABCB1A,MESH:D012640,marker/mechanism,17437408
Status Epilepticus,status epilepticus,C0038220,Status epilepticus,ABCB1A,MESH:D013226,marker/mechanism,14706787
Adenocarcinoma of Lung,adenocarcinoma of lung,,,ABCB1B,MESH:D000077192,marker/mechanism,27602772
Breast Neoplasms,breast neoplasms,,,ABCB1B,MESH:D001943,therapeutic,14633655
Chemical and Drug Induced Liver Injury,chemical and drug induced liver injury,,,ABCB1B,MESH:D056486,marker/mechanism,27193730
"Disease Models, Animal",disease models animal,,,ABCB1B,MESH:D004195,marker/mechanism,27602772
Endotoxemia,endotoxemia,,,ABCB1B,MESH:D019446,marker/mechanism,20300455
Liver Neoplasms,liver neoplasms,,,ABCB1B,MESH:D008113,marker/mechanism,27193730
"Mammary Neoplasms, Experimental",mammary neoplasms experimental,,,ABCB1B,MESH:D008325,therapeutic,14633655
Status Epilepticus,status epilepticus,C0038220,Status epilepticus,ABCB1B,MESH:D013226,marker/mechanism,14706787
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,ABCB4,MESH:D006528,marker/mechanism,22022477
Cholangitis,cholangitis,C0008311,Cholangitis,ABCB4,MESH:D002761,marker/mechanism,8698195
"Cholangitis, Sclerosing",cholangitis sclerosing,C0008313,Cholangitis sclerosing,ABCB4,MESH:D015209,marker/mechanism,16472600|29808285
"Cholestasis, progressive familial intrahepatic 1",cholestasis progressive familial intrahepatic 1,,,ABCB4,MESH:C535933,marker/mechanism,21056966
"Cholestasis, progressive familial intrahepatic 3",cholestasis progressive familial intrahepatic 3,,,ABCB4,MESH:C535935,marker/mechanism,22184139|28552422
Chronic Disease,chronic disease,,,ABCB4,MESH:D002908,marker/mechanism,29808285
Colorectal Neoplasms,colorectal neoplasms,,,ABCB4,MESH:D015179,marker/mechanism,22294766
"Disease Models, Animal",disease models animal,,,ABCB4,MESH:D004195,marker/mechanism,16472600|29808285
Disease Progression,disease progression,C0242656,Disease progression,ABCB4,MESH:D018450,marker/mechanism,22294766
End Stage Liver Disease,end stage liver disease,,,ABCB4,MESH:D058625,marker/mechanism,22022477
GALLBLADDER DISEASE 1,gallbladder disease 1,,,ABCB4,OMIM:600803,marker/mechanism,
Inflammation,inflammation,C0021368,Inflammation,ABCB4,MESH:D007249,marker/mechanism,22022477
Intrahepatic Cholestasis of Pregnancy,intrahepatic cholestasis of pregnancy,,,ABCB4,MESH:C535932,marker/mechanism,
"Jaundice, Obstructive",jaundice obstructive,,,ABCB4,MESH:D041781,marker/mechanism,22022477
Liver Cirrhosis,liver cirrhosis,,,ABCB4,MESH:D008103,marker/mechanism,18221819|8698195
"Liver Cirrhosis, Biliary",liver cirrhosis biliary,,,ABCB4,MESH:D008105,marker/mechanism,20040336|30682444
Liver Diseases,liver diseases,,,ABCB4,MESH:D008107,marker/mechanism,29808285
Non-alcoholic Fatty Liver Disease,non alcoholic fatty liver disease,,,ABCB4,MESH:D065626,marker/mechanism,20040336
Colorectal Neoplasms,colorectal neoplasms,,,ABCB5,MESH:D015179,marker/mechanism,22294766
Melanoma,melanoma,,,ABCB5,MESH:D008545,marker/mechanism,15899824
Colorectal Neoplasms,colorectal neoplasms,,,ABCB6,MESH:D015179,marker/mechanism,22294766
DYSCHROMATOSIS UNIVERSALIS HEREDITARIA 3,dyschromatosis universalis hereditaria 3,,,ABCB6,OMIM:615402,marker/mechanism,
MICROPHTHALMIA/COLOBOMA 7,microphthalmia coloboma 7,,,ABCB6,OMIM:614497,marker/mechanism,
Polycystic Ovary Syndrome,polycystic ovary syndrome,,,ABCB6,MESH:D011085,marker/mechanism,21411543
"Pseudohyperkalemia, Familial, 2, due to Red Cell Leak",pseudohyperkalemia familial 2 due to red cell leak,,,ABCB6,MESH:C563785,marker/mechanism,
Recurrence,recurrence,,,ABCB6,MESH:D012008,marker/mechanism,35837087
