DiseaseName_raw,DiseaseName_norm,mapped_adr_id,mapped_adr_name,GeneSymbol,DiseaseID,DirectEvidence,PubMedIDs
Pneumonia,pneumonia,C0032285,Pneumonia,CCL8,MESH:D011014,marker/mechanism,21625544
Respiratory Hypersensitivity,respiratory hypersensitivity,,,CCL8,MESH:D012130,marker/mechanism,17085522
Brain Ischemia,brain ischemia,,,CCL9,MESH:D002545,marker/mechanism,15829914
Hypersensitivity,hypersensitivity,C0020517,Hypersensitivity,CCL9,MESH:D006967,marker/mechanism,21625544
Pneumonia,pneumonia,C0032285,Pneumonia,CCL9,MESH:D011014,marker/mechanism,21625544
Respiratory Hypersensitivity,respiratory hypersensitivity,,,CCL9,MESH:D012130,marker/mechanism,17085522
Cerebral Cavernous Malformations 2,cerebral cavernous malformations 2,,,CCM2,MESH:C566394,marker/mechanism,
"Hemangioma, Cavernous, Central Nervous System",hemangioma cavernous central nervous system,,,CCM2,MESH:D020786,marker/mechanism,18154020
"Arthritis, Rheumatoid",arthritis rheumatoid,,,CCN1,MESH:D001172,marker/mechanism,19192274
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,CCN1,MESH:D006528,marker/mechanism,17699798
Lung Neoplasms,lung neoplasms,,,CCN1,MESH:D008175,marker/mechanism,27935865
"Scleroderma, Systemic",scleroderma systemic,,,CCN1,MESH:D012595,marker/mechanism,27482699
Adenocarcinoma,adenocarcinoma,C0001418,Adenocarcinoma,CCN2,MESH:D000230,marker/mechanism,21552421
Aortic Valve Insufficiency,aortic valve insufficiency,,,CCN2,MESH:D001022,marker/mechanism,21216836
"Arthritis, Rheumatoid",arthritis rheumatoid,,,CCN2,MESH:D001172,marker/mechanism,19192274
"Carcinoma, Ovarian Epithelial",carcinoma ovarian epithelial,,,CCN2,MESH:D000077216,marker/mechanism,30365097
"Cholestasis, Extrahepatic",cholestasis extrahepatic,,,CCN2,MESH:D001651,marker/mechanism,28789951
"Dermatitis, Contact",dermatitis contact,C0011616,Dermatitis contact,CCN2,MESH:D003877,marker/mechanism,25724174
"Diabetes, Gestational",diabetes gestational,,,CCN2,MESH:D016640,marker/mechanism,34175429
"Glomerulosclerosis, Focal Segmental",glomerulosclerosis focal segmental,,,CCN2,MESH:D005923,marker/mechanism,17121042
Heart Failure,heart failure,,,CCN2,MESH:D006333,marker/mechanism,17229371
"Hepatitis B, Chronic",hepatitis b chronic,,,CCN2,MESH:D019694,marker/mechanism,17657819
"Hernias, Diaphragmatic, Congenital",hernias diaphragmatic congenital,,,CCN2,MESH:D065630,marker/mechanism,20939759|21258935
Hypertension,hypertension,C0020538,Hypertension,CCN2,MESH:D006973,marker/mechanism,16685210
"Infertility, Female",infertility female,C0021361,Infertility female,CCN2,MESH:D007247,marker/mechanism,21868453
Liver Cirrhosis,liver cirrhosis,,,CCN2,MESH:D008103,marker/mechanism,16652398|17657819|26396155
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,CCN2,MESH:D008106,marker/mechanism,25380136
Lung Diseases,lung diseases,,,CCN2,MESH:D008171,marker/mechanism,20939759|21258935
Lung Neoplasms,lung neoplasms,,,CCN2,MESH:D008175,marker/mechanism,21552421
Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,precursor b cell lymphoblastic leukemia lymphoma,,,CCN2,MESH:D015452,marker/mechanism,24154679
Prenatal Exposure Delayed Effects,prenatal exposure delayed effects,,,CCN2,MESH:D011297,marker/mechanism,21258935
Pulmonary Fibrosis,pulmonary fibrosis,C0034069,Pulmonary fibrosis,CCN2,MESH:D011658,marker/mechanism,15298857|15677772|25815693|26817844
"Scleroderma, Systemic",scleroderma systemic,,,CCN2,MESH:D012595,marker/mechanism,24706986
Brain Neoplasms,brain neoplasms,,,CCN2A,MESH:D001932,marker/mechanism,27935819
Neoplasm Metastasis,neoplasm metastasis,,,CCN4,MESH:D009362,marker/mechanism,30723155
Paraquat lung,paraquat lung,,,CCN4,MESH:C537171,marker/mechanism,35387687
"Arthropathy, progressive pseudorheumatoid, of childhood",arthropathy progressive pseudorheumatoid of childhood,,,CCN6,MESH:C535387,marker/mechanism,
Desbuquois syndrome,desbuquois syndrome,,,CCN6,MESH:C535943,marker/mechanism,
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,CCNA1,MESH:D006528,marker/mechanism,12029619
Papillomavirus Infections,papillomavirus infections,,,CCNA1,MESH:D030361,marker/mechanism,23358896
Squamous Cell Carcinoma of Head and Neck,squamous cell carcinoma of head and neck,,,CCNA1,MESH:D000077195,marker/mechanism,23358896|29464035
Intellectual Disability,intellectual disability,,,CCNA2,MESH:D008607,marker/mechanism,21937992
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,CCNA2,MESH:D008106,marker/mechanism,25380136
Squamous Cell Carcinoma of Head and Neck,squamous cell carcinoma of head and neck,,,CCNA2,MESH:D000077195,marker/mechanism,29464035
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,CCNB1,MESH:D006528,marker/mechanism,28284560
"Carcinoma, Non-Small-Cell Lung",carcinoma non small cell lung,,,CCNB1,MESH:D002289,marker/mechanism,34837450
Polycystic Ovary Syndrome,polycystic ovary syndrome,,,CCNB1,MESH:D011085,marker/mechanism,21411543
Squamous Cell Carcinoma of Head and Neck,squamous cell carcinoma of head and neck,,,CCNB1,MESH:D000077195,marker/mechanism,29464035
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,CCNB2,MESH:D006528,marker/mechanism,28284560
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,CCNB2,MESH:D008106,marker/mechanism,25380136
Osteosarcoma,osteosarcoma,,,CCNB3,MESH:D012516,marker/mechanism,22387997
Adenocarcinoma,adenocarcinoma,C0001418,Adenocarcinoma,CCND1,MESH:D000230,marker/mechanism,26432044
Bowen's Disease,bowen s disease,C0006079,Bowen's disease,CCND1,MESH:D001913,marker/mechanism,29103775
Brain Neoplasms,brain neoplasms,,,CCND1,MESH:D001932,marker/mechanism,20932960|27935819
Breast Neoplasms,breast neoplasms,,,CCND1,MESH:D001943,marker/mechanism,12839951|17255770|19636701|20948315|23839043|25267515
Carcinoma,carcinoma,,,CCND1,MESH:D002277,marker/mechanism,12376462|14522882|16316942|17173897
"Carcinoma, Adenoid Cystic",carcinoma adenoid cystic,,,CCND1,MESH:D003528,marker/mechanism,16762588
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,CCND1,MESH:D006528,marker/mechanism,12029619|19919837|22649188|25822088|26189965
"Carcinoma, Squamous Cell",carcinoma squamous cell,,,CCND1,MESH:D002294,marker/mechanism,26432044
"Carcinoma, Transitional Cell",carcinoma transitional cell,,,CCND1,MESH:D002295,marker/mechanism,12151359
Cecal Neoplasms,cecal neoplasms,,,CCND1,MESH:D002430,marker/mechanism,14688030
"Cell Transformation, Neoplastic",cell transformation neoplastic,,,CCND1,MESH:D002471,marker/mechanism|therapeutic,21726611|24362009
Clinical Deterioration,clinical deterioration,,,CCND1,MESH:D000075902,marker/mechanism,29464035
Colonic Neoplasms,colonic neoplasms,,,CCND1,MESH:D003110,marker/mechanism,18283038|19147571|21081470|21188121
Colorectal Neoplasms,colorectal neoplasms,,,CCND1,MESH:D015179,marker/mechanism,
Disease Progression,disease progression,C0242656,Disease progression,CCND1,MESH:D018450,marker/mechanism,29103775
Endometrial Neoplasms,endometrial neoplasms,,,CCND1,MESH:D016889,marker/mechanism,29232554
Esophageal Neoplasms,esophageal neoplasms,,,CCND1,MESH:D004938,marker/mechanism,12235107
Esophageal Squamous Cell Carcinoma,esophageal squamous cell carcinoma,,,CCND1,MESH:D000077277,marker/mechanism,25151357
Genomic Instability,genomic instability,,,CCND1,MESH:D042822,marker/mechanism,8548770
Hemangiosarcoma,hemangiosarcoma,,,CCND1,MESH:D006394,marker/mechanism,17569031
Hyperparathyroidism,hyperparathyroidism,C0020502,Hyperparathyroidism,CCND1,MESH:D006961,marker/mechanism,21541686
Hyperplasia,hyperplasia,C0020507,Hyperplasia,CCND1,MESH:D006965,marker/mechanism,12151359|21541686
Intestinal Polyps,intestinal polyps,,,CCND1,MESH:D007417,marker/mechanism,12584176
Kidney Neoplasms,kidney neoplasms,,,CCND1,MESH:D007680,marker/mechanism,21693435
Leukemia,leukemia,,,CCND1,MESH:D007938,marker/mechanism,10602166
Liver Neoplasms,liver neoplasms,,,CCND1,MESH:D008113,marker/mechanism,27064257
"Liver Neoplasms, Experimental",liver neoplasms experimental,,,CCND1,MESH:D008114,marker/mechanism,28100771
Lung Neoplasms,lung neoplasms,,,CCND1,MESH:D008175,marker/mechanism,11307925|16289808
"Lymphoma, Mantle-Cell",lymphoma mantle cell,,,CCND1,MESH:D020522,marker/mechanism,22383795|26174628
"Mammary Neoplasms, Animal",mammary neoplasms animal,,,CCND1,MESH:D015674,marker/mechanism,12376462|14522882|16316942|17173897
"Mammary Neoplasms, Experimental",mammary neoplasms experimental,,,CCND1,MESH:D008325,marker/mechanism,12376462|14522882|16316942
Multiple Myeloma,multiple myeloma,,,CCND1,MESH:D009101,marker/mechanism,23502783
Myocardial Ischemia,myocardial ischemia,,,CCND1,MESH:D017202,marker/mechanism,16214533
Nasopharyngeal Carcinoma,nasopharyngeal carcinoma,,,CCND1,MESH:D000077274,marker/mechanism,24952746
"Neoplasms, Experimental",neoplasms experimental,,,CCND1,MESH:D009374,marker/mechanism,20932960
Papilloma,papilloma,C0030354,Papilloma,CCND1,MESH:D010212,marker/mechanism,12151359
Precancerous Conditions,precancerous conditions,,,CCND1,MESH:D011230,marker/mechanism,12151359
Prostatic Neoplasms,prostatic neoplasms,,,CCND1,MESH:D011471,marker/mechanism,17606477
Salivary Gland Neoplasms,salivary gland neoplasms,,,CCND1,MESH:D012468,marker/mechanism,16762588
Squamous Cell Carcinoma of Head and Neck,squamous cell carcinoma of head and neck,,,CCND1,MESH:D000077195,marker/mechanism,26909611|29464035
Stomach Neoplasms,stomach neoplasms,,,CCND1,MESH:D013274,marker/mechanism,21628965
Thyroid Neoplasms,thyroid neoplasms,,,CCND1,MESH:D013964,marker/mechanism,23811263
Urinary Bladder Neoplasms,urinary bladder neoplasms,,,CCND1,MESH:D001749,marker/mechanism,36115647
Urologic Neoplasms,urologic neoplasms,,,CCND1,MESH:D014571,marker/mechanism,21040761
Uterine Cervical Neoplasms,uterine cervical neoplasms,,,CCND1,MESH:D002583,marker/mechanism,26432044
von Hippel-Lindau Disease,von hippel lindau disease,,,CCND1,MESH:D006623,marker/mechanism,
Cardiomegaly,cardiomegaly,C0018800,Cardiomegaly,CCND2,MESH:D006332,therapeutic,15576649
Colonic Neoplasms,colonic neoplasms,,,CCND2,MESH:D003110,marker/mechanism,15059925
Colorectal Neoplasms,colorectal neoplasms,,,CCND2,MESH:D015179,marker/mechanism,30510241
"Diabetes Mellitus, Type 2",diabetes mellitus type 2,,,CCND2,MESH:D003924,marker/mechanism,24464100
Fibrosis,fibrosis,C0016059,Fibrosis,CCND2,MESH:D005355,therapeutic,16306446
Hydrocephalus,hydrocephalus,C0020255,Hydrocephalus,CCND2,MESH:D006849,marker/mechanism,29642246
"Leukemia, Myeloid, Acute",leukemia myeloid acute,,,CCND2,MESH:D015470,marker/mechanism,27798625
Megalancephaly Polymicrogyria-Polydactyly Hydrocephalus Syndrome,megalancephaly polymicrogyria polydactyly hydrocephalus syndrome,,,CCND2,MESH:C566381,marker/mechanism,24705253|29642246
Megalencephaly,megalencephaly,,,CCND2,MESH:D058627,marker/mechanism,29642246
Myocardial Ischemia,myocardial ischemia,,,CCND2,MESH:D017202,marker/mechanism,16214533
Ovarian Neoplasms,ovarian neoplasms,,,CCND2,MESH:D010051,marker/mechanism,17270028
Perisylvian syndrome,perisylvian syndrome,,,CCND2,MESH:C536658,marker/mechanism,29642246
"Polydactyly, Postaxial",polydactyly postaxial,,,CCND2,MESH:C562429,marker/mechanism,29642246
Prostatic Neoplasms,prostatic neoplasms,,,CCND2,MESH:D011471,marker/mechanism,17016690
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,precursor t cell lymphoblastic leukemia lymphoma,,,CCND3,MESH:D054218,marker/mechanism,28671688
"Liver Neoplasms, Experimental",liver neoplasms experimental,,,CCNDBP1,MESH:D008114,therapeutic,16501603
Breast Neoplasms,breast neoplasms,,,CCNE1,MESH:D001943,marker/mechanism,19385967|23624423
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,CCNE1,MESH:D006528,marker/mechanism,12029619|22634754
Disease Progression,disease progression,C0242656,Disease progression,CCNE1,MESH:D018450,marker/mechanism,19385967
Medulloblastoma,medulloblastoma,,,CCNE1,MESH:D008527,marker/mechanism,19270706
Ovarian Neoplasms,ovarian neoplasms,,,CCNE1,MESH:D010051,marker/mechanism,21397856
Recurrence,recurrence,,,CCNE1,MESH:D012008,marker/mechanism,19385967
Squamous Cell Carcinoma of Head and Neck,squamous cell carcinoma of head and neck,,,CCNE1,MESH:D000077195,marker/mechanism,29464035
Urinary Bladder Neoplasms,urinary bladder neoplasms,,,CCNE1,MESH:D001749,marker/mechanism,20972438|27514407
Endometriosis,endometriosis,C0014175,Endometriosis,CCNE2,MESH:D004715,marker/mechanism,20864642
"Mesothelioma, Malignant",mesothelioma malignant,,,CCNE2,MESH:D000086002,marker/mechanism,25756049
Polycystic Ovary Syndrome,polycystic ovary syndrome,,,CCNE2,MESH:D011085,marker/mechanism,21411543
Squamous Cell Carcinoma of Head and Neck,squamous cell carcinoma of head and neck,,,CCNE2,MESH:D000077195,marker/mechanism,29464035
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,CCNF,MESH:D006528,marker/mechanism,28284560
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,CCNG1,MESH:D008106,marker/mechanism,25380136
Lung Neoplasms,lung neoplasms,,,CCNG1,MESH:D008175,marker/mechanism,16289808
Breast Neoplasms,breast neoplasms,,,CCNH,MESH:D001943,marker/mechanism,30705370
Carcinoma,carcinoma,,,CCNH,MESH:D002277,marker/mechanism,12606953
"Carcinoma, Non-Small-Cell Lung",carcinoma non small cell lung,,,CCNH,MESH:D002289,marker/mechanism,30705370
Colonic Neoplasms,colonic neoplasms,,,CCNH,MESH:D003110,marker/mechanism,30705370
Esophageal Neoplasms,esophageal neoplasms,,,CCNH,MESH:D004938,marker/mechanism,30705370
Glioblastoma,glioblastoma,C0017636,Glioblastoma,CCNH,MESH:D005909,marker/mechanism,30705370
Liver Neoplasms,liver neoplasms,,,CCNH,MESH:D008113,marker/mechanism,30705370
Lymphatic Metastasis,lymphatic metastasis,,,CCNH,MESH:D008207,marker/mechanism,30705370
"Mammary Neoplasms, Animal",mammary neoplasms animal,,,CCNH,MESH:D015674,marker/mechanism,12606953
"Mammary Neoplasms, Experimental",mammary neoplasms experimental,,,CCNH,MESH:D008325,marker/mechanism,12606953
Ovarian Neoplasms,ovarian neoplasms,,,CCNH,MESH:D010051,marker/mechanism,30705370
Prostatic Neoplasms,prostatic neoplasms,,,CCNH,MESH:D011471,marker/mechanism,30705370
"CILIARY DYSKINESIA, PRIMARY, 29",ciliary dyskinesia primary 29,,,CCNO,OMIM:615872,marker/mechanism,
"Lung Diseases, Obstructive",lung diseases obstructive,,,CCNO,MESH:D008173,marker/mechanism,24747639
Desbuquois syndrome,desbuquois syndrome,,,CCNQ,MESH:C535943,marker/mechanism,
"Toe Syndactyly, Telecanthus, and Anogenital and Renal Malformations",toe syndactyly telecanthus and anogenital and renal malformations,,,CCNQ,MESH:C567475,marker/mechanism,18297069
"Colitis, Ulcerative",colitis ulcerative,C0009324,Colitis ulcerative,CCNY,MESH:D003093,marker/mechanism,18438405
Crohn Disease,crohn disease,,,CCNY,MESH:D003424,marker/mechanism,18438405
Behcet Syndrome,behcet syndrome,,,CCR1,MESH:D001528,marker/mechanism,23291587
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,CCR1,MESH:D006528,marker/mechanism,16284949
Colonic Neoplasms,colonic neoplasms,,,CCR1,MESH:D003110,marker/mechanism,36346222
"Dermatitis, Contact",dermatitis contact,C0011616,Dermatitis contact,CCR1,MESH:D003877,marker/mechanism,25724174
Hypersensitivity,hypersensitivity,C0020517,Hypersensitivity,CCR1,MESH:D006967,marker/mechanism,21625544
Liver Diseases,liver diseases,,,CCR1,MESH:D008107,marker/mechanism,19784758
Pneumonia,pneumonia,C0032285,Pneumonia,CCR1,MESH:D011014,marker/mechanism,21625544
Status Epilepticus,status epilepticus,C0038220,Status epilepticus,CCR10,MESH:D013226,marker/mechanism,17181556
Chemical and Drug Induced Liver Injury,chemical and drug induced liver injury,,,CCR2,MESH:D056486,marker/mechanism,20623750
COVID-19,covid 19,,,CCR2,MESH:D000086382,marker/mechanism,33307546
"Dermatitis, Allergic Contact",dermatitis allergic contact,,,CCR2,MESH:D017449,marker/mechanism,17374397
HIV Infections,hiv infections,,,CCR2,MESH:D015658,marker/mechanism,
Hypersensitivity,hypersensitivity,C0020517,Hypersensitivity,CCR2,MESH:D006967,marker/mechanism,21625544
Liver Diseases,liver diseases,,,CCR2,MESH:D008107,marker/mechanism,12845637
Pneumonia,pneumonia,C0032285,Pneumonia,CCR2,MESH:D011014,marker/mechanism,21625544
Pulmonary Fibrosis,pulmonary fibrosis,C0034069,Pulmonary fibrosis,CCR2,MESH:D011658,marker/mechanism,14609568
Status Epilepticus,status epilepticus,C0038220,Status epilepticus,CCR2,MESH:D013226,marker/mechanism,19490431|20034406
"Asthma, Aspirin-Induced",asthma aspirin induced,,,CCR3,MESH:D055963,marker/mechanism,20485159
"Dermatitis, Atopic",dermatitis atopic,C0011615,Dermatitis atopic,CCR3,MESH:D003876,marker/mechanism,18249437
HIV Infections,hiv infections,,,CCR3,MESH:D015658,marker/mechanism,10202824
Pulmonary Fibrosis,pulmonary fibrosis,C0034069,Pulmonary fibrosis,CCR3,MESH:D011658,marker/mechanism,16314464
Respiratory Hypersensitivity,respiratory hypersensitivity,,,CCR3,MESH:D012130,marker/mechanism,20022477
Status Epilepticus,status epilepticus,C0038220,Status epilepticus,CCR3,MESH:D013226,marker/mechanism,19490431
Brain Ischemia,brain ischemia,,,CCR4,MESH:D002545,marker/mechanism,15829914
Celiac Disease,celiac disease,,,CCR4,MESH:D002446,marker/mechanism,20190752
Glioma,glioma,,,CCR4,MESH:D005910,marker/mechanism,17522861
"Leukemia-Lymphoma, Adult T-Cell",leukemia lymphoma adult t cell,,,CCR4,MESH:D015459,marker/mechanism,26437031
Liver Neoplasms,liver neoplasms,,,CCR4,MESH:D008113,marker/mechanism,19233941
Sezary Syndrome,sezary syndrome,,,CCR4,MESH:D012751,marker/mechanism,26551670
Acute Kidney Injury,acute kidney injury,,,CCR5,MESH:D058186,marker/mechanism,26055553
Colonic Neoplasms,colonic neoplasms,,,CCR5,MESH:D003110,marker/mechanism,36346222
Colorectal Neoplasms,colorectal neoplasms,,,CCR5,MESH:D015179,marker/mechanism,35072892
"Dermatitis, Atopic",dermatitis atopic,C0011615,Dermatitis atopic,CCR5,MESH:D003876,marker/mechanism,18249437
"Diabetes Mellitus, Insulin-Dependent, 22",diabetes mellitus insulin dependent 22,,,CCR5,MESH:C567284,marker/mechanism,
Disease Progression,disease progression,C0242656,Disease progression,CCR5,MESH:D018450,marker/mechanism,35072892
Hepatitis C,hepatitis c,C0019196,Hepatitis C,CCR5,MESH:D006526,marker/mechanism,
HIV Infections,hiv infections,,,CCR5,MESH:D015658,marker/mechanism,
Neoplasm Metastasis,neoplasm metastasis,,,CCR5,MESH:D009362,marker/mechanism,35072892
"Neoplasms, Experimental",neoplasms experimental,,,CCR5,MESH:D009374,marker/mechanism,35072892
Nephritis,nephritis,C0027697,Nephritis,CCR5,MESH:D009393,marker/mechanism,26055553
West Nile Fever,west nile fever,,,CCR5,MESH:D014901,marker/mechanism,
"Arthritis, Rheumatoid",arthritis rheumatoid,,,CCR6,MESH:D001172,marker/mechanism,20453841|20453842|23143596
"Colitis, Ulcerative",colitis ulcerative,C0009324,Colitis ulcerative,CCR6,MESH:D003093,marker/mechanism,16306769
Hypersensitivity,hypersensitivity,C0020517,Hypersensitivity,CCR6,MESH:D006967,marker/mechanism,21625544
Pneumonia,pneumonia,C0032285,Pneumonia,CCR6,MESH:D011014,marker/mechanism,21625544
Vitiligo,vitiligo,C0042900,Vitiligo,CCR6,MESH:D014820,marker/mechanism,20526340
Crohn Disease,crohn disease,,,CCR7,MESH:D003424,marker/mechanism,36038634
"Leukemia-Lymphoma, Adult T-Cell",leukemia lymphoma adult t cell,,,CCR7,MESH:D015459,marker/mechanism,26437031
Status Epilepticus,status epilepticus,C0038220,Status epilepticus,CCR7,MESH:D013226,marker/mechanism,17181556
Status Epilepticus,status epilepticus,C0038220,Status epilepticus,CCR8,MESH:D013226,marker/mechanism,17181556
Hypersensitivity,hypersensitivity,C0020517,Hypersensitivity,CCR9,MESH:D006967,marker/mechanism,21625544
Pneumonia,pneumonia,C0032285,Pneumonia,CCR9,MESH:D011014,marker/mechanism,21625544
Status Epilepticus,status epilepticus,C0038220,Status epilepticus,CCR9,MESH:D013226,marker/mechanism,17181556
Arsenic Poisoning,arsenic poisoning,,,CCRL2,MESH:D020261,marker/mechanism,16835338
Skin Diseases,skin diseases,,,CCRL2,MESH:D012871,marker/mechanism,16835338
Deficiency Diseases,deficiency diseases,,,CCS,MESH:D003677,marker/mechanism,12514262
"Hepatitis, Chronic",hepatitis chronic,,,CCS,MESH:D006521,marker/mechanism,25053573
Cocaine-Related Disorders,cocaine related disorders,,,CCSER1,MESH:D019970,marker/mechanism,18438686
Osteoporosis,osteoporosis,C0029456,Osteoporosis,CCT2,MESH:D010024,marker/mechanism,18924182
Retinitis pigmentosa 1,retinitis pigmentosa 1,,,CCT2,MESH:C538365,marker/mechanism,
Chemical and Drug Induced Liver Injury,chemical and drug induced liver injury,,,CCT3,MESH:D056486,marker/mechanism,25231249
HIV Infections,hiv infections,,,CCT3,MESH:D015658,marker/mechanism,15308739
Adenocarcinoma of Lung,adenocarcinoma of lung,,,CCT5,MESH:D000077192,marker/mechanism,27602772
Breast Neoplasms,breast neoplasms,,,CCT5,MESH:D001943,marker/mechanism,17659439
Chemical and Drug Induced Liver Injury,chemical and drug induced liver injury,,,CCT5,MESH:D056486,marker/mechanism,25231249
"Disease Models, Animal",disease models animal,,,CCT5,MESH:D004195,marker/mechanism,27602772
HIV Infections,hiv infections,,,CCT5,MESH:D015658,marker/mechanism,15308739
"Neuropathy, Hereditary Sensory, with Spastic Paraplegia, Autosomal Recessive",neuropathy hereditary sensory with spastic paraplegia autosomal recessive,,,CCT5,MESH:C564948,marker/mechanism,
Burkitt Lymphoma,burkitt lymphoma,,,CCT6B,MESH:D002051,marker/mechanism,23143597
Acute Kidney Injury,acute kidney injury,,,CCT7,MESH:D058186,marker/mechanism,31825490
Disease Progression,disease progression,C0242656,Disease progression,CCT7,MESH:D018450,marker/mechanism,21364753
HIV Infections,hiv infections,,,CCT7,MESH:D015658,marker/mechanism,15308739
"Kidney Tubular Necrosis, Acute",kidney tubular necrosis acute,,,CCT7,MESH:D007683,marker/mechanism,31825490
Stomach Neoplasms,stomach neoplasms,,,CCT7,MESH:D013274,marker/mechanism,21364753
Breast Neoplasms,breast neoplasms,,,CD109,MESH:D001943,marker/mechanism,18507500
Colorectal Neoplasms,colorectal neoplasms,,,CD109,MESH:D015179,marker/mechanism,18507500|21278247
"Arthritis, Juvenile",arthritis juvenile,,,CD14,MESH:D001171,marker/mechanism,19565504
Asthma,asthma,C0004096,Asthma,CD14,MESH:D001249,marker/mechanism,17607003
Brain Injuries,brain injuries,,,CD14,MESH:D001930,marker/mechanism,21549006
Diarrhea,diarrhea,,,CD14,MESH:D003967,marker/mechanism,21596674
Eczema,eczema,C0013595,Eczema,CD14,MESH:D004485,marker/mechanism,19759553
Gout,gout,C0018099,Gout,CD14,MESH:D006073,marker/mechanism,26462562
Liver Cirrhosis,liver cirrhosis,,,CD14,MESH:D008103,marker/mechanism,20353583
Non-alcoholic Fatty Liver Disease,non alcoholic fatty liver disease,,,CD14,MESH:D065626,marker/mechanism,20353583
Weight Loss,weight loss,,,CD14,MESH:D015431,marker/mechanism,28411859
Nephropathy with Pretibial Epidermolysis Bullosa and Deafness,nephropathy with pretibial epidermolysis bullosa and deafness,,,CD151,MESH:C563798,marker/mechanism,
"Abortion, Spontaneous",abortion spontaneous,C0000786,Abortion spontaneous,CD163,MESH:D000022,marker/mechanism,18539642
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,CD163,MESH:D006528,marker/mechanism,28284560
Carotid Artery Diseases,carotid artery diseases,,,CD163,MESH:D002340,marker/mechanism,17095719
"Glomerulonephritis, IGA",glomerulonephritis iga,,,CD163,MESH:D005922,marker/mechanism,25133636
Hyperglycemia,hyperglycemia,,,CD163,MESH:D006943,marker/mechanism,29035695
Hyperinsulinism,hyperinsulinism,C0020459,Hyperinsulinism,CD163,MESH:D006946,marker/mechanism,29035695
Insulin Resistance,insulin resistance,C0021655,Insulin resistance,CD163,MESH:D007333,marker/mechanism,29035695
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,CD163,MESH:D008106,marker/mechanism,25380136
Obesity,obesity,C0028754,Obesity,CD163,MESH:D009765,marker/mechanism,29035695
Melanoma,melanoma,,,CD163L1,MESH:D008545,marker/mechanism,22842228
"Abortion, Spontaneous",abortion spontaneous,C0000786,Abortion spontaneous,CD164,MESH:D000022,marker/mechanism,18539642
"DEAFNESS, AUTOSOMAL DOMINANT 66",deafness autosomal dominant 66,,,CD164,OMIM:616969,marker/mechanism,
Agammaglobulinemia,agammaglobulinemia,,,CD19,MESH:D000361,marker/mechanism,16672701
Common Variable Immunodeficiency,common variable immunodeficiency,,,CD19,MESH:D017074,marker/mechanism,16672701
"Arthritis, Rheumatoid",arthritis rheumatoid,,,CD2,MESH:D001172,marker/mechanism,23143596
Nephrotic Syndrome,nephrotic syndrome,C0027726,Nephrotic syndrome,CD2,MESH:D009404,marker/mechanism,2465858
Thrombosis,thrombosis,C0040053,Thrombosis,CD2,MESH:D013927,marker/mechanism,16932337
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,CD200R1,MESH:D008106,marker/mechanism,25380136
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,CD200R2,MESH:D008106,marker/mechanism,25380136
COVID-19,covid 19,,,CD209,MESH:D000086382,marker/mechanism,35255492
Dengue,dengue,,,CD209,MESH:D003715,marker/mechanism,15838506
Hepatitis C,hepatitis c,C0019196,Hepatitis C,CD209,MESH:D006526,marker/mechanism,27385120
HIV Infections,hiv infections,,,CD209,MESH:D015658,marker/mechanism,15564514
"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO",mycobacterium tuberculosis susceptibility to,,,CD209,OMIM:607948,marker/mechanism,
"Tuberculosis, Pulmonary",tuberculosis pulmonary,,,CD209,MESH:D014397,marker/mechanism,16379498
"Abortion, Spontaneous",abortion spontaneous,C0000786,Abortion spontaneous,CD226,MESH:D000022,marker/mechanism,18539642
Colorectal Neoplasms,colorectal neoplasms,,,CD226,MESH:D015179,marker/mechanism,16015041
Endometriosis,endometriosis,C0014175,Endometriosis,CD226,MESH:D004715,marker/mechanism,20864642
"Lupus Erythematosus, Systemic",lupus erythematosus systemic,,,CD226,MESH:D008180,marker/mechanism,26808113
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,CD24,MESH:D008106,marker/mechanism,25380136
Pancreatic Neoplasms,pancreatic neoplasms,,,CD24,MESH:D010190,marker/mechanism,28369074
"Arthritis, Rheumatoid",arthritis rheumatoid,,,CD244,MESH:D001172,marker/mechanism,18794858
Immunodeficiency due to Defect in CD3-Zeta,immunodeficiency due to defect in cd3 zeta,,,CD247,MESH:C565712,marker/mechanism,
