adr_idx,adr_id,adr_name
233,C0009088,Cluster headache
234,C0009144,Tongue coated
235,C0009193,Coccydynia
236,C0009241,Cognitive disorder
237,C0009319,Colitis
238,C0009324,Colitis ulcerative
239,C0009326,Collagen disorder
240,C0009377,Colonic pseudo-obstruction
241,C0009421,Coma
242,C0009450,Infection
243,C0009492,Compartment syndrome
244,C0009595,Obsessive-compulsive personality disorder
245,C0009663,Anogenital warts
246,C0009676,Confusional state
247,C0009759,Conjunctival disorder
248,C0009760,Conjunctival haemorrhage
249,C0009763,Conjunctivitis
250,C0009766,Conjunctivitis allergic
251,C0009768,Conjunctivitis bacterial
252,C0009782,Connective tissue disorder
253,C0009806,Constipation
254,C0009917,Muscle contracture
255,C0009918,Joint contracture
256,C0009938,Contusion
257,C0009946,Conversion disorder
258,C0009952,Febrile convulsion
259,C0010032,Corneal abrasion
260,C0010034,Corneal disorder
261,C0010037,Corneal oedema
262,C0010038,Corneal opacity
263,C0010043,Ulcerative keratitis
264,C0010054,Arteriosclerosis coronary artery
265,C0010072,Coronary artery thrombosis
266,C0010073,Arteriospasm coronary
267,C0010200,Cough
268,C0010266,Cranial nerve disorder
269,C0010346,Crohn's disease
270,C0010399,Crying
271,C0010414,Cryptococcosis
272,C0010418,Cryptosporidiosis infection
273,C0010481,Cushing's syndrome
274,C0010520,Cyanosis
275,C0010692,Cystitis
276,C0010709,Cyst
277,C0010823,Cytomegalovirus infection
278,C0010930,Dacryocystitis
279,C0011053,Deafness
280,C0011057,Sudden hearing loss
281,C0011071,Sudden death
282,C0011124,Libido decreased
283,C0011127,Decubitus ulcer
284,C0011168,Dysphagia
285,C0011175,Dehydration
286,C0011206,Delirium
287,C0011253,Delusion
288,C0011304,Demyelination
289,C0011334,Dental caries
290,C0011432,Sensitivity of teeth
291,C0011551,Depersonalisation
292,C0011570,Depression
293,C0011603,Dermatitis
294,C0011606,Dermatitis exfoliative
295,C0011609,Drug eruption
296,C0011615,Dermatitis atopic
297,C0011616,Dermatitis contact
298,C0011630,Fungal skin infection
299,C0011633,Dermatomyositis
300,C0011644,Scleroderma
301,C0011649,Dermoid cyst
302,C0011757,Developmental coordination disorder
303,C0011848,Diabetes insipidus
304,C0011849,Diabetes mellitus
305,C0011854,Type 1 diabetes mellitus
306,C0011860,Type 2 diabetes mellitus
307,C0011875,Diabetic vascular disorder
308,C0011876,Cataract diabetic
309,C0011880,Diabetic ketoacidosis
310,C0011881,Diabetic nephropathy
311,C0011882,Diabetic neuropathy
312,C0011884,Diabetic retinopathy
313,C0011974,Dermatitis diaper
314,C0011991,Diarrhoea
315,C0012241,Gastrointestinal malformation
316,C0012569,Diplopia
317,C0012691,Joint dislocation
318,C0012739,Disseminated intravascular coagulation
319,C0012746,Dissociative disorder
320,C0012813,Diverticulitis
321,C0012817,Diverticulum
322,C0012833,Dizziness
323,C0013080,Trisomy 21
324,C0013132,Drooling
325,C0013146,Drug abuse
326,C0013182,Drug hypersensitivity
327,C0013220,Drug tolerance
328,C0013240,Alveolar osteitis
329,C0013274,Patent ductus arteriosus
330,C0013295,Duodenal ulcer
331,C0013298,Duodenitis
332,C0013312,Dupuytren's contracture
333,C0013362,Dysarthria
334,C0013369,Dysentery
335,C0013378,Dysgeusia
336,C0013384,Dyskinesia
337,C0013390,Dysmenorrhoea
338,C0013395,Dyspepsia
339,C0013404,Dyspnoea
340,C0013415,Dysthymic disorder
341,C0013418,Abnormal labour
342,C0013428,Dysuria
343,C0013447,Ear disorder
344,C0013456,Ear pain
345,C0013473,Eating disorder
346,C0013491,Ecchymosis
347,C0013592,Ectropion
348,C0013595,Eczema
349,C0013604,Oedema
350,C0013608,Oedema due to cardiac disease
351,C0013609,Localised oedema
352,C0013687,Effusion
353,C0013781,Electric shock
354,C0013922,Embolism
355,C0013928,Fat embolism
356,C0014038,Encephalitis
357,C0014065,Encephalocele
358,C0014118,Endocarditis
359,C0014130,Endocrine disorder
360,C0014173,Endometrial hyperplasia
361,C0014175,Endometriosis
362,C0014179,Endometritis
363,C0014236,Endophthalmitis
364,C0014335,Enteritis
365,C0014356,Enterocolitis
366,C0014394,Enuresis
367,C0014431,Enzyme induction
368,C0014457,Eosinophilia
369,C0014488,Epicondylitis
370,C0014518,Toxic epidermal necrolysis
371,C0014527,Epidermolysis bullosa
372,C0014534,Epididymitis
373,C0014544,Epilepsy
374,C0014549,Grand mal convulsion
375,C0014550,Myoclonic epilepsy
376,C0014553,Petit mal epilepsy
377,C0014583,Episcleritis
378,C0014591,Epistaxis
379,C0014714,Ergot poisoning
380,C0014718,Intertrigo candida
381,C0014724,Eructation
382,C0014733,Erysipelas
383,C0014742,Erythema multiforme
384,C0014743,Erythema nodosum
385,C0014745,Palmar erythema
